"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IGLV5-45",154.961065653371,1.54810039466782,0.374656594840234,4.13205163338439,3.59539627305698e-05,0.00663523263560962

"RASGEF1C",15.5883435577319,1.04380220331637,0.252669292662116,4.13110034986407,3.61030924595937e-05,0.00663523263560962

"SYTL5",567.459406750043,-1.15554860452285,0.279903320816114,-4.1283847621158,3.65320447754363e-05,0.00666834361760732

"CRB1",7.41422053223651,1.19285371311539,0.289005513401768,4.127442757319,3.66819703321399e-05,0.00666834361760732

"RP11-76C10.5",8.80562964472266,1.63879292553974,0.397411145760847,4.12367127349249,3.72880957157297e-05,0.00674188926267807

"CYP4F22",16.7540229972702,-1.143679605205,0.277752271476515,-4.11762467008917,3.82797458801997e-05,0.00688397430078924

"KCNH5",3.05654986117849,1.85063849103863,0.449945100191203,4.11303176821397,3.90496623880201e-05,0.00698487784607959

"MBNL1-AS1",163.996353639309,0.80027064358071,0.194844192848134,4.10723374344783,4.00425953326301e-05,0.00712438708128268

"FAM92B",13.9433620591012,1.20160207675849,0.292676061777306,4.1055700608435,4.03319017300929e-05,0.00712557531433772

"DCSTAMP",76.6546643560146,0.923758537951838,0.225046265850504,4.10474945878677,4.04753298969825e-05,0.00712557531433772

"LINC00595",2.88117288046116,1.63508982458043,0.398487366309188,4.10324131408412,4.07401926721881e-05,0.0071346529041467

"SEZ6",74.6446111834431,1.18451664435351,0.288919560676187,4.0998146389994,4.13481176626183e-05,0.00720340201925479

"TNMD",11.1095842648049,1.88568787493835,0.460244624610689,4.09714263699095,4.18281187355136e-05,0.00724926810147251

"ITGA8",380.993249956917,0.698219254999859,0.170477486771278,4.09566839718038,4.20952109652389e-05,0.00725795212152719

"PYGM",101.319166136441,0.783355624986889,0.191331081426675,4.09424134931835,4.23552939402094e-05,0.00726534475387725

"PLIN1",410.000048903029,1.60760751974848,0.392899750593958,4.09164810442921,4.28318261393264e-05,0.00730960077823637

"MYOCD",132.853024705678,1.07616253091174,0.263358373581485,4.0863045904966,4.38298304529023e-05,0.00742446647449181

"GNG4",736.577329939813,1.13290961389734,0.277288224503036,4.08567517040355,4.39488284238506e-05,0.00742446647449181

"PVALB",13.3951853366399,1.10885401578415,0.271576529533121,4.0830259437015,4.44530580852428e-05,0.00745137728874155

"XKR4",64.0250481406134,1.24130707374281,0.304106351133717,4.08181897259028,4.46845969172526e-05,0.00745137728874155

"ZNF536",28.0615330487901,1.13449941422788,0.27800390811254,4.08087577592117,4.48663303811847e-05,0.00745137728874155

"KIF5A",317.329380125952,1.02090550855131,0.250210379799468,4.0801884772707,4.49991991487277e-05,0.00745137728874155

"KLHL35",134.086184386644,-0.600090143529349,0.147253517719915,-4.07521771174767,4.59713178209753e-05,0.00757485029455076

"RPL7P28",2.65032976444182,-1.76390452062156,0.433493935411512,-4.06904082509736,4.72070759790131e-05,0.00774034060991181

"VWC2",6.3943619188265,1.32804758031757,0.326588542097441,4.06642428968417,4.77399849599888e-05,0.00778953539964228

"SLC22A16",12.3448191463202,0.927042684125145,0.228197192335306,4.06246314706177,4.85576154464189e-05,0.00788448387896732

"LINC00643",358.315838126024,1.51481554715713,0.373344274637772,4.05742273301726,4.96172246968728e-05,0.00801761617819177

"FCER2",121.396978328173,1.70089385836543,0.419499754029057,4.05457653319058,5.02252050813791e-05,0.00807684079214927

"LINC00475",49.1096261955764,0.83326716814654,0.205730039163905,4.05029412103828,5.11532975654977e-05,0.00818079191010989

"IRX2",120.934270660884,1.2016736105844,0.29675738911355,4.04934688963917,5.13607671716068e-05,0.00818079191010989

"IGHV3-22",4.28180690778994,1.64112096398549,0.405400907816395,4.04814328814663,5.16255394269901e-05,0.00818399368859428

"MIR22HG",1044.78399898857,0.432982977866708,0.107034875800328,4.04525136904379,5.22670112501892e-05,0.00824660027975273

"RP11-554D14.2",4.45369148140019,1.46746434963268,0.362970651544877,4.04292838384276,5.27877478131091e-05,0.00828965904507364

"VPREB3",101.200179232194,1.43239596761255,0.35466948565449,4.03867833447604,5.3753218215714e-05,0.00840182895372624

"IGFBPL1",27.0075383915069,1.08114833174953,0.267858735043331,4.03626311299734,5.43093075721304e-05,0.00844926525107066

"TCEAL7",221.993819193192,0.699180039201632,0.173484857046885,4.03020788732399,5.5727544637691e-05,0.00860017673158978

"LRRTM2",40.664095879746,0.918759635114117,0.227984037815108,4.02992965612452,5.57935469148549e-05,0.00860017673158978

"ENSG00000273777.3",13.0982125067126,1.77026668644113,0.439527654223024,4.02765712107587,5.6335419216959e-05,0.00861180380055901

"KHDRBS2",16.1423175177104,1.33534586800507,0.331560732382334,4.02745481471923,5.63838988406955e-05,0.00861180380055901

"CACNA1G",54.7543939139462,1.02206641479542,0.25385807366445,4.026133185531,5.67015807388973e-05,0.00862095988243352

"GRIA1",15.1921515863323,1.23566516913621,0.307331620163877,4.02062491479829,5.80439610211145e-05,0.00878512421807809

"LINC00461",6.38010185736615,1.30403972688892,0.324712246263083,4.01598566699078,5.91978535641334e-05,0.00891940992732746

"AP1S2",967.216709049233,0.437930931885413,0.109147811138063,4.01227406504257,6.01366251199401e-05,0.00902022409702635

"CACNG1",5.17171170762033,1.55833689173037,0.388809160566917,4.00797370478149,6.12419370244219e-05,0.00914500692647272

"APOA4",107.422427229851,2.5920709439501,0.646912743372459,4.00683240592421,6.15384963726147e-05,0.00914844962296707

"GLT1D1",77.4468333795658,0.874898681758844,0.218433550457423,4.00533104885542,6.19306856709135e-05,0.00916601550887782

"ASCL5",44.2161818899056,-1.00514033317182,0.25116416128865,-4.00192578437442,6.28290078953226e-05,0.0091856912224776

